country_code,short_name,table_name,long_name,two_alpha_code,special_notes,wb_two_code,currency_unit,system_of_national_accounts,latest_population_census,region,income_group,national_accounts_base_year,sna_price_valuation,system_of_trade,vital_registration_complete,lending_category,balance_of_payments_manual_in_use,government_accounting_concept,imf_data_dissemination_standard,latest_trade_data,latest_household_survey,latest_agricultural_census,latest_industrial_data,latest_water_withdrawal_data,source_of_most_recent_income_and_expenditure_data,national_accounts_reference_year,other_groups,external_debt_reporting_status,alternative_conversion_factor,ppp_survey_year
ARB,Arab World,Arab World,Arab World,1A,Arab World aggregate. Arab World is composed of members of the League of Arab States.,1A,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
EUU,European Union,European Union,European Union,EU,European Union aggregate.,EU,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
OED,OECD members,OECD members,OECD members,OE,"OECD members aggregate (all, including developing countries).",OE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
LAC,Latin America & Caribbean (developing only),Latin America & Caribbean,Latin America & Caribbean (developing only),XJ,Latin America and Caribbean regional aggregate (does not include high-income economies).,XJ,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
LIC,Low income,Low income,Low income,XM,"Low income group aggregate. Low-income economies are those in which 2013 GNI per capita was $1,045 or less.",XM,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
HIC,High income,High income,High income,XD,"High income group aggregate. High-income economies are those in which 2013 GNI per capita was $12,746 or more.",XD,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
EAS,East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),Z4,East Asia and Pacific regional aggregate (including high-income economies).,Z4,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
WLD,World,World,World,1W,World aggregate.,1W,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
NRU,Nauru,Nauru,Nauru,NR,<NULL>,NR,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
LMY,Low & middle income,Low & middle income,Low & middle income,XO,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2013 GNI per capita was $12,745 or less.",XO,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
HPC,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),XE,Heavily indebted poor countries aggregate.,XE,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
MIC,Middle income,Middle income,Middle income,XP,"Middle income group aggregate. Middle-income economies are those in which 2013 GNI per capita was between $1,046 and $12,745.",XP,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
SAS,South Asia,South Asia,South Asia,8S,South Asia regional aggregate. There are no economies in South Asia classified as high income.,8S,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
UMC,Upper middle income,Upper middle income,Upper middle income,XT,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2013 GNI per capita was between $4,126 and $12,745.",XT,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
NAC,North America,North America,North America,XU,North America regional aggregate. There are no economies in North America classified as low or middle income.,XU,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
EMU,Euro area,Euro area,Euro area,XC,Euro area aggregate.,XC,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
LCN,Latin America & Caribbean (all income levels),Latin America & Caribbean (all income levels),Latin America & Caribbean (all income levels),ZJ,Latin America and Caribbean regional aggregate (including high-income economies).,ZJ,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
LIE,Liechtenstein,Liechtenstein,Principality of Liechtenstein,LI,<NULL>,LI,Swiss franc,Country uses the 1993 System of National Accounts methodology.,2010,Europe & Central Asia,High income: nonOECD,1990,Value added at basic prices (VAB),Special trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
KNA,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,KN,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",KN,East Caribbean dollar,Country uses the 1993 System of National Accounts methodology.,2011,Latin America & Caribbean,High income: nonOECD,2006,Value added at basic prices (VAB),Special trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2011,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,TC,<NULL>,TC,U.S. dollar,Country uses the 1993 System of National Accounts methodology.,2012,Latin America & Caribbean,High income: nonOECD,<NULL>,<NULL>,General trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,2012,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
BHS,The Bahamas,"Bahamas, The",Commonwealth of The Bahamas,BS,<NULL>,BS,Bahamian dollar,Country uses the 1993 System of National Accounts methodology.,2010,Latin America & Caribbean,High income: nonOECD,2006,Value added at basic prices (VAB),General trade system,<NULL>,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
ABW,Aruba,Aruba,Aruba,AW,SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.,AW,Aruban florin,Country uses the 1993 System of National Accounts methodology.,2010,Latin America & Caribbean,High income: nonOECD,2000,Value added at basic prices (VAB),Special trade system,Yes,<NULL>,"IMF Balance of Payments Manual, 6th edition.",<NULL>,<NULL>,2012,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
PRI,Puerto Rico,Puerto Rico,Puerto Rico,PR,"Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: Based on data from the Instituto de Estadísticas de Puerto Rico, national accounts data were revised for 2001 onward.",PR,U.S. dollar,Country uses the 1968 System of National Accounts methodology.,2010,Latin America & Caribbean,High income: nonOECD,1954,Value added at producer prices (VAP),General trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,"Reproductive Health Survey (RHS), 1995/96",2007,2006,2005,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
FRO,Faeroe Islands,Faeroe Islands,Faeroe Islands,FO,<NULL>,FO,Danish krone,Country uses the 1993 System of National Accounts methodology.,2011,Europe & Central Asia,High income: nonOECD,<NULL>,Value added at basic prices (VAB),General trade system,Yes,<NULL>,"IMF Balance of Payments Manual, 6th edition.",<NULL>,<NULL>,2009,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
AND,Andorra,Andorra,Principality of Andorra,AD,<NULL>,AD,Euro,Country uses the 1968 System of National Accounts methodology.,2011. Population figures compiled from administrative registers.,Europe & Central Asia,High income: nonOECD,1990,<NULL>,Special trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,2006,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
IMN,Isle of Man,Isle of Man,Isle of Man,IM,<NULL>,IM,Pound sterling,Country uses the 1968 System of National Accounts methodology.,2011,Europe & Central Asia,High income: nonOECD,2003,<NULL>,<NULL>,Yes,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
CYM,Cayman Islands,Cayman Islands,Cayman Islands,KY,<NULL>,KY,Cayman Islands dollar,Country uses the 1993 System of National Accounts methodology.,2010,Latin America & Caribbean,High income: nonOECD,2007,<NULL>,General trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
NCL,New Caledonia,New Caledonia,New Caledonia,NC,<NULL>,NC,CFP franc,Country uses the 1993 System of National Accounts methodology.,2009,East Asia & Pacific,High income: nonOECD,1990,<NULL>,Special trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,2012,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
TTO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,TT,<NULL>,TT,Trinidad and Tobago dollar,Country uses the 1993 System of National Accounts methodology.,2011,Latin America & Caribbean,High income: nonOECD,2000,Value added at basic prices (VAB),Special trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011",<NULL>,2006,2000,"Integrated household survey (IHS), 1992",<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,AG,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",AG,East Caribbean dollar,Country uses the 1968 System of National Accounts methodology.,2011,Latin America & Caribbean,High income: nonOECD,2006,Value added at basic prices (VAB),General trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,<NULL>,2007,<NULL>,2005,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
CHI,Channel Islands,Channel Islands,Channel Islands,<NULL>,<NULL>,JG,Pound sterling,Country uses the 1968 System of National Accounts methodology.,Guernsey: 2009; Jersey: 2011.,Europe & Central Asia,High income: nonOECD,2003,Value added at basic prices (VAB),<NULL>,Yes. Vital registration for Guernsey and Jersey.,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2007.0,<NULL>,<NULL>,<NULL>,<NULL>
BMU,Bermuda,Bermuda,The Bermudas,BM,<NULL>,BM,Bermuda dollar,Country uses the 1993 System of National Accounts methodology.,2010,North America,High income: nonOECD,2006,Value added at basic prices (VAB),General trade system,Yes,<NULL>,"IMF Balance of Payments Manual, 6th edition.",<NULL>,<NULL>,2012,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
GRL,Greenland,Greenland,Greenland,GL,<NULL>,GL,Danish krone,Country uses the 1993 System of National Accounts methodology.,2010,Europe & Central Asia,High income: nonOECD,1990,<NULL>,General trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,2012,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
MNP,Northern Mariana Islands,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MP,<NULL>,MP,U.S. dollar,Country uses the 1968 System of National Accounts methodology.,2010,East Asia & Pacific,High income: nonOECD,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2007,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
VIR,Virgin Islands,Virgin Islands (U.S.),Virgin Islands of the United States,VI,<NULL>,VI,U.S. dollar,Country uses the 1968 System of National Accounts methodology.,2010,Latin America & Caribbean,High income: nonOECD,1982,<NULL>,General trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2007,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,AE,"April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.",AE,U.A.E. dirham,Country uses the 1993 System of National Accounts methodology.,2010,Middle East & North Africa,High income: nonOECD,2007,Value added at producer prices (VAP),General trade system,<NULL>,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2011,<NULL>,2012,<NULL>,2005,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
MAF,St. Martin (French part),St. Martin (French part),St. Martin (French part),MF,<NULL>,MF,Euro,Country uses the 1993 System of National Accounts methodology.,<NULL>,Latin America & Caribbean,High income: nonOECD,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
GUM,Guam,Guam,Guam,GU,<NULL>,GU,U.S. dollar,Country uses the 1993 System of National Accounts methodology.,2010,East Asia & Pacific,High income: nonOECD,<NULL>,<NULL>,General trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2007,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
CUW,Curaçao,Curaçao,Curaçao,CW,<NULL>,CW,Netherlands Antilles guilder,Country uses the 1993 System of National Accounts methodology.,<NULL>,Latin America & Caribbean,High income: nonOECD,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
SMR,San Marino,San Marino,Republic of San Marino,SM,<NULL>,SM,Euro,Country uses the 1993 System of National Accounts methodology.,2010,Europe & Central Asia,High income: nonOECD,1990,Value added at basic prices (VAB),<NULL>,Yes,<NULL>,<NULL>,Consolidated central government,General Data Dissemination System (GDDS),<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2000.0,<NULL>,<NULL>,<NULL>,<NULL>
BRB,Barbados,Barbados,Barbados,BB,<NULL>,BB,Barbados dollar,Country uses the 1968 System of National Accounts methodology.,2010,Latin America & Caribbean,High income: nonOECD,1974,Value added at basic prices (VAB),General trade system,Yes,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2012",2010. Population and Housing Census.,<NULL>,2005,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
MCO,Monaco,Monaco,Principality of Monaco,MC,<NULL>,MC,Euro,Country uses the 1993 System of National Accounts methodology.,2008,Europe & Central Asia,High income: nonOECD,1990,<NULL>,Special trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2009,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),SX,<NULL>,SX,Netherlands Antilles guilder,Country uses the 1993 System of National Accounts methodology.,2011,Latin America & Caribbean,High income: nonOECD,<NULL>,<NULL>,<NULL>,Yes,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
PYF,French Polynesia,French Polynesia,French Polynesia,PF,<NULL>,PF,CFP franc,Country uses the 1993 System of National Accounts methodology.,2007,East Asia & Pacific,High income: nonOECD,1990/91,<NULL>,Special trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,2012,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
ERI,Eritrea,Eritrea,State of Eritrea,ER,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",ER,Eritrean nakfa,Country uses the 1968 System of National Accounts methodology.,1984,Sub-Saharan Africa,Low income,2000,Value added at basic prices (VAB),<NULL>,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",<NULL>,<NULL>,2003,"Demographic and Health Survey (DHS), 2002",<NULL>,2010,2004,"Priority survey (PS), 1993",<NULL>,HIPC,Estimate,<NULL>,<NULL>
AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,AF,Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.,AF,Afghan afghani,Country uses the 1993 System of National Accounts methodology.,1979,South Asia,Low income,2002/03,Value added at basic prices (VAB),General trade system,<NULL>,IDA,<NULL>,Consolidated central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2010/11",2013/14,<NULL>,2000,"Integrated household survey (IHS), 2008",<NULL>,HIPC,Actual,<NULL>,<NULL>
MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,MM,Fiscal year end: March 31; reporting period for national accounts data: FY.,MM,Myanmar kyat,Country uses the 1968 System of National Accounts methodology.,1983,East Asia & Pacific,Low income,2005/06,Value added at producer prices (VAP),General trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2009/10",2010,2003,2000,<NULL>,<NULL>,<NULL>,Estimate,<NULL>,<NULL>
HTI,Haiti,Haiti,Republic of Haiti,HT,"Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",HT,Haitian gourde,Country uses the 1968 System of National Accounts methodology.,2003,Latin America & Caribbean,Low income,1986/87,Value added at basic prices (VAB),General trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",<NULL>,General Data Dissemination System (GDDS),1997,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013",2008/ 2009,<NULL>,2000,"Integrated household survey (IHS), 2001",<NULL>,HIPC,Actual,1991,<NULL>
SOM,Somalia,Somalia,Somali Democratic Republic,SO,<NULL>,SO,Somali shilling,Country uses the 1968 System of National Accounts methodology.,1987,Sub-Saharan Africa,Low income,1985,Value added at basic prices (VAB),<NULL>,<NULL>,IDA,<NULL>,<NULL>,<NULL>,<NULL>,"Multiple Indicator Cluster Survey (MICS), 2006",<NULL>,<NULL>,2003,<NULL>,<NULL>,HIPC,Estimate,1977–90,<NULL>
PRK,Dem. People's Rep. Korea,"Korea, Dem. Rep.",Democratic People's Republic of Korea,KP,<NULL>,KP,Democratic People's Republic of Korean won,Country uses the 1968 System of National Accounts methodology.,2008,East Asia & Pacific,Low income,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,"IMF Balance of Payments Manual, 6th edition.",<NULL>,<NULL>,<NULL>,"Multiple Indicator Cluster Survey (MICS), 2009",<NULL>,<NULL>,2005,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
